source,bias
Act.TV,left bias
Addicting Info,left bias
Advocate,left bias
Aftonbladet,left bias
Akkadian Times,left bias
Al DIA,left bias
Alliance for Justice (AFJ),left bias
All That’s Fab,left bias
Alt News,left bias
Alternet,left bias
Amandla,left bias
AmericaBlog,left bias
American Bridge 21st Century,left bias
American News X,left bias
American Oversight,left bias
Americans United for Separation of Church and State,left bias
Angry White Men,left bias
Anti-Fascist News,left bias
AutoStraddle,left bias
Backed by Fact,left bias
Baltimore City Paper,left bias
Bay Area Reporter,left bias
Being Liberal,left bias
Bitch Media,left bias
Black Agenda Report,left bias
Black Lives Matter,left bias
Blue Nation Review,left bias
Blue State Daily,left bias
Boing Boing,left bias
Boston Review,left bias
Breitbart Unmasked,left bias
Bust Magazine,left bias
Canadian Dimension,left bias
Capital & Main,left bias
Carbonated TV,left bias
Care2,left bias
Center For American Progress,left bias
Center for Media and Democracy (PR Watch),left bias
Certified Politics,left bias
Change.org,left bias
Chicago Reader,left bias
Chronicles of Democracy,left bias
Citizen Critics,left bias
CNN,left bias
Code Pink,left bias
Comic Sands,left bias
Common Dreams,left bias
Content News,left bias
Cosmopolitan,left bias
CounterCurrents.org,left bias
CounterPunch,left bias
CrimethInc,left bias
Crooked Media,left bias
Crooks and Liars,left bias
Current Affairs Magazine,left bias
Curve Magazine,left bias
Daily 49er,left bias
Daily Beast,left bias
Daily Dems,left bias
Daily Dot,left bias
Daily Kos,left bias
Daily News Bin,left bias
Daily Record (Scotland),left bias
Dallas Voice,left bias
DC Tribune,left bias
Deadspin,left bias
Dead State,left bias
DeathandTaxes,left bias
Deep Left Field,left bias
DeepStateNation.com,left bias
Democracy Chronicles,left bias
Democracy Guardian,left bias
Democracy Now,left bias
Democratic Underground,left bias
Deshabhimani,left bias
DeSmogBlog,left bias
Detroit Metro Times,left bias
Die Hard Democrat,left bias
Dissent Magazine,left bias
Drudge Retort,left bias
Earth First! Journal,left bias
Economy in Crisis,left bias
EgbertoWillies.com,left bias
Electoral-Vote.com,left bias
Electronic Intifada,left bias
Elisabeth Parker,left bias
Elite Daily,left bias
Esquire Magazine,left bias
Everyday Feminism,left bias
Evonomics,left bias
ExtraNewsFeed,left bias
Feminist Current,left bias
Feministing,left bias
Fifth Estate,left bias
Filming Cops,left bias
First Post,left bias
Food and Water Watch,left bias
Foreign Policy Journal,left bias
Foreign Policy News,left bias
Forward Progressives,left bias
Freedom From Religion Foundation (FFRF),left bias
Free Press,left bias
Free Rein News,left bias
Freedom News and Journal,left bias
FStv (Freespeech.org),left bias
Gizmodo,left bias
Global Voices,left bias
Globe Today,left bias
Good Magazine,left bias
GOPOPCALYPSE,left bias
GQ Magazine,left bias
